,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
224,103,4,0,133,106,106
225,96,4,0,124,113,96
226,88,3,0,141,93,97
227,92,2,0,117,111,99
228,95,1,0,120,105,102
229,106,2,0,159,87,99
230,88,3,0,146,81,92
231,108,3,0,164,102,118
232,92,6,0,144,112,85
233,103,2,0,164,97,91
234,104,3,0,143,106,90
235,94,3,0,151,113,107
236,86,5,0,133,102,111
237,88,1,0,137,89,103
238,116,1,0,157,99,97
239,109,4,0,138,104,92
240,81,10,0,131,84,106
241,98,2,0,148,96,99
242,114,1,0,156,92,92
243,91,3,0,144,92,101
244,90,2,0,150,104,117
245,100,2,0,175,94,112
246,97,4,0,144,99,93
247,103,4,0,180,99,93
248,96,9,0,140,99,80
249,97,2,0,138,90,108
250,114,5,0,151,109,82
251,106,2,0,151,102,113
252,85,6,0,152,103,102
253,94,4,0,133,98,88
254,98,4,0,128,101,103
255,77,1,0,135,98,98
256,108,5,0,136,104,101
257,86,1,0,134,109,99
258,119,3,0,140,119,122
259,116,0,0,147,93,119
260,98,3,0,170,97,85
261,84,5,0,159,100,115
262,99,5,0,154,105,119
263,100,2,0,138,92,104
264,99,9,0,142,99,85
265,108,1,0,169,123,91
266,97,4,0,129,85,92
267,111,2,0,133,121,100
268,86,2,0,154,111,98
269,110,1,0,141,100,108
270,87,3,0,127,87,99
271,121,2,0,157,106,118
272,74,5,0,127,83,100
273,100,3,0,145,87,103
274,98,2,0,158,104,110
275,101,3,0,150,113,82
276,106,4,0,149,79,109
277,96,4,0,140,98,101
278,96,4,0,138,98,102
279,123,1,0,148,96,108
280,93,12,0,152,123,101
281,84,3,0,143,99,91
282,107,1,0,141,92,111
283,102,1,0,141,100,93
284,102,4,0,155,78,113
285,107,3,0,143,85,97
286,100,1,0,130,105,90
287,108,2,0,149,105,92
288,99,9,0,145,100,94
289,91,2,0,139,89,110
290,92,1,0,147,96,114
291,107,3,0,152,96,95
292,101,3,0,131,120,108
293,114,2,0,145,105,86
294,91,3,0,164,100,111
295,91,0,0,126,93,105
296,94,3,0,166,99,89
297,101,2,0,150,101,118
298,96,2,0,134,92,92
299,101,2,0,159,107,113
300,100,2,0,133,101,101
301,92,1,0,163,107,106
302,103,1,0,154,100,80
303,100,1,0,138,95,107
304,97,5,0,163,92,101
305,115,6,0,151,101,104
306,94,0,0,147,103,95
307,93,2,0,157,77,95
308,95,5,0,139,106,108
309,104,4,0,158,95,107
310,100,2,0,152,103,98
311,112,2,0,134,91,96
312,85,3,0,141,101,120
313,102,3,0,142,112,111
314,107,0,0,146,104,92
315,98,0,0,149,109,98
316,105,4,0,146,89,88
317,106,1,0,139,102,103
318,108,4,0,143,119,111
319,103,3,0,126,84,102
320,109,5,0,149,103,88
321,112,0,0,149,93,112
322,107,6,0,153,103,97
323,104,3,0,176,111,104
324,112,2,0,125,91,87
325,100,5,0,154,114,87
326,105,4,0,145,92,112
327,121,2,0,118,106,87
328,88,4,0,134,106,103
329,115,4,0,144,94,81
330,96,5,0,121,104,88
331,93,3,0,148,105,94
332,92,1,0,159,91,108
333,95,3,0,136,83,86
334,104,3,0,134,114,103
335,90,4,0,137,110,94
336,102,2,0,132,103,115
337,114,3,0,146,103,93
338,100,4,0,159,93,109
339,119,5,0,147,77,94
340,101,5,0,141,84,109
341,104,3,0,157,105,115
342,113,3,0,143,83,100
343,101,2,0,155,110,101
344,96,6,0,147,106,93
345,89,1,0,155,94,92
346,84,4,0,142,98,95
347,94,2,0,162,98,93
348,102,2,0,130,113,89
349,102,3,0,160,81,94
350,100,4,0,139,101,87
351,119,1,0,147,88,100
352,103,4,0,162,97,89
353,101,0,0,160,103,110
354,95,1,0,165,102,99
355,115,4,0,153,85,81
356,98,2,0,131,92,118
357,94,0,0,141,110,117
358,104,2,0,140,95,108
359,112,2,0,120,83,103
360,118,5,0,145,109,99
361,109,4,0,154,92,95
362,119,3,0,129,96,88
363,99,2,0,133,111,96
364,96,2,0,144,95,102
365,116,1,0,151,97,87
366,89,1,0,164,99,86
367,100,3,0,160,92,106
368,97,3,0,161,100,109
369,110,4,0,142,88,93
370,85,3,0,166,114,88
371,101,1,0,161,109,87
372,83,1,0,156,113,113
373,114,1,0,154,94,102
374,85,4,0,144,99,90
375,97,3,0,130,97,99
376,109,8,0,151,99,97
377,96,1,0,154,99,95
378,93,2,0,155,91,111
379,106,2,0,159,96,107
380,113,0,0,132,111,117
381,105,3,0,160,105,103
382,92,2,0,161,116,97
383,94,3,0,142,99,103
384,112,5,0,167,78,112
385,89,3,0,135,86,108
386,95,5,0,145,115,102
387,101,0,0,139,101,80
388,93,3,0,162,96,103
389,117,1,0,147,101,116
390,99,1,0,163,96,109
391,102,2,0,126,85,94
392,98,7,0,140,112,109
393,101,2,0,149,110,110
394,90,1,0,148,107,97
395,110,2,0,158,101,109
396,106,5,0,172,95,105
397,113,1,0,168,101,91
398,111,4,0,138,101,80
399,101,2,0,137,86,118
400,102,4,0,159,104,99
401,101,2,0,137,92,100
402,111,2,0,137,107,92
403,120,0,0,139,108,110
404,89,7,0,144,105,97
405,104,1,0,129,93,90
406,93,3,0,157,106,109
407,91,1,0,134,96,98
408,103,8,0,132,107,97
409,93,1,0,143,115,111
